fecha,valor
2000-01-03,530.07
2000-01-04,527.28
2000-01-05,529.08
2000-01-06,530.67
2000-01-07,527.76
2000-01-10,523.51
2000-01-11,521.66
2000-01-12,519.79
2000-01-13,521.46
2000-01-14,517.08
2000-01-17,515.75
2000-01-18,516.56
2000-01-19,513.07
2000-01-20,516.07
2000-01-21,517.96
2000-01-24,518.29
2000-01-25,515.67
2000-01-26,515.62
2000-01-27,516.55
2000-01-28,517.61
2000-01-31,517.89
2000-02-01,517.79
2000-02-02,518.58
2000-02-03,517.26
2000-02-04,514.06
2000-02-07,515.01
2000-02-08,514.49
2000-02-09,514.73
2000-02-10,514.5
2000-02-11,515.72
2000-02-14,515.43
2000-02-15,514.8
2000-02-16,514.38
2000-02-17,513.08
2000-02-18,511.64
2000-02-21,511.7
2000-02-22,511.31
2000-02-23,509.28
2000-02-24,508.12
2000-02-25,506.69
2000-02-28,507.32
2000-02-29,503.98
2000-03-01,501.36
2000-03-02,503.15
2000-03-03,502.83
2000-03-06,503.61
2000-03-07,503.13
2000-03-08,505.33
2000-03-09,507.33
2000-03-10,505.63
2000-03-13,507.75
2000-03-14,507.65
2000-03-15,505.75
2000-03-16,506.78
2000-03-17,505.86
2000-03-20,506.29
2000-03-21,506.39
2000-03-22,505.35
2000-03-23,503.98
2000-03-24,502.97
2000-03-27,502.26
2000-03-28,502.78
2000-03-29,502.12
2000-03-30,501.04
2000-03-31,501.41
2000-04-03,502.22
2000-04-04,503.96
2000-04-05,503
2000-04-06,505.08
2000-04-07,505.62
2000-04-10,505.2
2000-04-11,505.39
2000-04-12,505.71
2000-04-13,505.34
2000-04-14,505.63
2000-04-17,508.41
2000-04-18,513.21
2000-04-19,511.33
2000-04-20,507.83
2000-04-24,510.4
2000-04-25,513.1
2000-04-26,512.89
2000-04-27,513.96
2000-04-28,515.61
2000-05-02,515.35
2000-05-03,514.46
2000-05-04,515.71
2000-05-05,517.59
2000-05-08,518.81
2000-05-09,522.35
2000-05-10,523.89
2000-05-11,526.08
2000-05-12,523.65
2000-05-15,520.25
2000-05-16,521.6
2000-05-17,516.58
2000-05-18,519.89
2000-05-19,520.81
2000-05-22,523.64
2000-05-23,525.42
2000-05-24,524.26
2000-05-25,525.73
2000-05-26,525.19
2000-05-29,525.43
2000-05-30,525.13
2000-05-31,524.77
2000-06-01,524
2000-06-02,522.9
2000-06-05,520.03
2000-06-06,520.47
2000-06-07,522.92
2000-06-08,524.42
2000-06-09,525.68
2000-06-12,528.31
2000-06-13,530.17
2000-06-14,532.29
2000-06-15,530.55
2000-06-16,531.99
2000-06-20,533.03
2000-06-21,531.49
2000-06-22,532.95
2000-06-23,534.31
2000-06-27,537.38
2000-06-28,537.28
2000-06-29,535.97
2000-06-30,538.61
2000-07-03,538.62
2000-07-04,537.46
2000-07-05,533.42
2000-07-06,535.57
2000-07-07,537.63
2000-07-10,535.99
2000-07-11,535.56
2000-07-12,534.91
2000-07-13,536.67
2000-07-14,539.93
2000-07-17,542.73
2000-07-18,542.63
2000-07-19,544.56
2000-07-20,547.36
2000-07-21,545.44
2000-07-24,545.52
2000-07-25,547.82
2000-07-26,550.97
2000-07-27,554.02
