fecha,valor
2000-01-01,26441
2000-02-01,26520
2000-03-01,26573
2000-04-01,26732
2000-05-01,26919
2000-06-01,27054
2000-07-01,27108
2000-08-01,27162
2000-09-01,27189
2000-10-01,27271
2000-11-01,27435
2000-12-01,27600
2001-01-01,27683
2001-02-01,27711
2001-03-01,27794
2001-04-01,27711
2001-05-01,27850
2001-06-01,27989
2001-07-01,28101
2001-08-01,28129
2001-09-01,28073
2001-10-01,28298
2001-11-01,28496
2001-12-01,28524
2002-01-01,28524
2002-02-01,28438
2002-03-01,28410
2002-04-01,28410
2002-05-01,28552
2002-06-01,28666
2002-07-01,28695
2002-08-01,28666
2002-09-01,28781
2002-10-01,28896
2002-11-01,29127
2002-12-01,29389
2003-01-01,29360
2003-02-01,29243
2003-03-01,29272
2003-04-01,29506
2003-05-01,29860
2003-06-01,29830
2003-07-01,29711
2003-08-01,29711
2003-09-01,29681
2003-10-01,29740
2003-11-01,29799
2003-12-01,29739
2004-01-01,29650
2004-02-01,29561
2004-03-01,29502
2004-04-01,29502
2004-05-01,29620
2004-06-01,29738
2004-07-01,29887
2004-08-01,30007
2004-09-01,30067
2004-10-01,30187
2004-11-01,30217
2004-12-01,30308
2005-01-01,30399
2005-02-01,30277
2005-03-01,30186
2005-04-01,30156
2005-05-01,30337
2005-06-01,30610
2005-07-01,30702
2005-08-01,30825
2005-09-01,31010
2005-10-01,31103
2005-11-01,31414
2005-12-01,31571
2006-01-01,31508
2006-02-01,31413
2006-03-01,31444
2006-04-01,31413
2006-05-01,31601
2006-06-01,31791
2006-07-01,31855
2006-08-01,32046
2006-09-01,32206
2006-10-01,32303
2006-11-01,32303
2006-12-01,32206
2007-01-01,32142
2007-02-01,32174
2007-03-01,32271
2007-04-01,32206
2007-05-01,32335
2007-06-01,32529
2007-07-01,32724
2007-08-01,33019
2007-09-01,33382
2007-10-01,33749
2007-11-01,34120
2007-12-01,34222
2008-01-01,34496
2008-02-01,34668
2008-03-01,34668
2008-04-01,34807
2008-05-01,35085
2008-06-01,35225
2008-07-01,35648
2008-08-01,36183
2008-09-01,36581
2008-10-01,36910
2008-11-01,37316
2008-12-01,37652
2009-01-01,37614
2009-02-01,37163
2009-03-01,36866
2009-04-01,36719
2009-05-01,36866
2009-06-01,36792
2009-07-01,36682
2009-08-01,36792
2009-09-01,36645
2009-10-01,36498
2009-11-01,36863
2009-12-01,36863
2010-01-01,36679
2010-02-01,36569
2010-03-01,36752
2010-04-01,36862
2010-05-01,36899
2010-06-01,37083
2010-07-01,37231
2010-08-01,37231
2010-09-01,37454
2010-10-01,37417
2010-11-01,37567
2010-12-01,37605
2011-01-01,37643
2011-02-01,37681
2011-03-01,37794
2011-04-01,37870
2011-05-01,38173
2011-06-01,38288
2011-07-01,38441
2011-08-01,38518
2011-09-01,38557
2011-10-01,38634
2011-11-01,38827
2011-12-01,39021
2012-01-01,39138
2012-02-01,39373
2012-03-01,39412
2012-04-01,39570
2012-05-01,39649
2012-06-01,39689
2012-07-01,39689
2012-08-01,39570
2012-09-01,39570
2012-10-01,39649
2012-11-01,39966
2012-12-01,40206
2013-01-01,40005
2013-02-01,40005
2013-03-01,40085
2013-04-01,40125
2013-05-01,40286
2013-06-01,40085
2013-07-01,40085
2013-08-01,40326
2013-09-01,40447
2013-10-01,40528
2013-11-01,40731
2013-12-01,40772
2014-01-01,40935
2014-02-01,41181
2014-03-01,41263
2014-04-01,41469
2014-05-01,41801
2014-06-01,42052
2014-07-01,42178
2014-08-01,42220
2014-09-01,42304
2014-10-01,42431
2014-11-01,42770
2014-12-01,43198
2015-01-01,43198
2015-02-01,43025
